 Site,Site code,DecdegS,DecdegE,Country,Province or district,RFZ,Biome,Stratigraphic context,Dating technique,Material dated, Species,Lab ID,Date,Uncertainty,Archaeological Period,Archaeological Sub-chronology,Sample context,Site Type,delta 13,refcode,Notes
Divuyu,DVY,-18.759,21.736,Botswana,North-West District,S,Savanna Biome,,AMS,,,Beta-13267,1220,70,Iron Age,,,,,denbow2011edt,
Divuyu,DVY,-18.759,21.736,Botswana,North-West District,S,Savanna Biome,,AMS,,,Beta-13268,1400,70,Iron Age,,,,,denbow2011edt,
Divuyu,DVY,-18.759,21.736,Botswana,North-West District,S,Savanna Biome,,AMS,,,Beta-13269,1370,60,Iron Age,,,,,denbow2011edt,
Domboshaba,DMB,-20.60,27.36,Botswana,North-East District,,,,conventional 14C,,,I-13560,450,80,Iron Age,,,settlement,,huffman2007h,
Domboshaba,DMB,-20.60,27.36,Botswana,North-East District,,,,conventional 14C,,,I-13746,1150,80,Iron Age,,,settlement,,campbell1996ves,
Domboshaba,DMB,-20.60,27.36,Botswana,North-East District,,,,conventional 14C,,,Wits-1216,490,50,Iron Age,,,settlement,,huffman2007h,
Domboshaba,DMB,-20.60,27.36,Botswana,North-East District,,,,conventional 14C,,,Wits-1376,510,70,Iron Age,,,settlement,,huffman2007h,
Domboshaba,DMB,-20.60,27.36,Botswana,North-East District,,,,conventional 14C,,,Wits-1395,470,70,Iron Age,,,settlement,,huffman2007h,
Doonside,DNS,-30.072,30.869,South Africa,Kwazulu-Natal,S,Indian Ocean Coastal Belt,"Skeleton, DBN 3062",conventional 14C,bone,Homo sapiens,Pta-5800,2110,50,,,,Human burial,,ribot2010phe,
Doornfontein,DRN,-28.300,23.083,South Africa,Northern Cape,S,Savanna Biome,LowerStratum 68-97 cm,conventional 14C,,,Pta-186,1120,40,,,,mine,,beaumont1974rep,specularite mine
Doornfontein,DRN,-28.300,23.083,South Africa,Northern Cape,S,Savanna Biome,LowerStratum 114-130 cm,conventional 14C,,,Pta-187,1120,40,,,,mine,,beaumont1974rep,specularite mine
Doornfontein,DRN,-28.300,23.083,South Africa,Northern Cape,S,Savanna Biome,UpperStratum,conventional 14C,bone,Bos/ Syncerus,Pta-3089,130,80,,,,mine,,beaumont1974rep,specularite mine
Doornpoort,DNP,-28.613,26.962,South Africa,Free State,S,Grassland Biome,2826DB 11; Hut G7e5,conventional 14C,charcoal,,Pta-4138,340,45,Iron Age,,,settlement,,dreyer1992adw,Makgwareng facies
Doornpoort,DNP,-28.613,26.962,South Africa,Free State,S,Grassland Biome,2826DB 14; Hut F5,conventional 14C,plant remains,,Pta-4161,160,45,Iron Age,,,settlement,,dreyer1992adw,Makgwareng facies; carbonised reeds
Doornpoort,DNP,-28.613,26.962,South Africa,Free State,S,Grassland Biome,2826DB 10; Midden L7b4,conventional 14C,charcoal,,Pta-4166,90,45,Iron Age,,,settlement,,dreyer1992adw,Makgwareng facies
Doorspring 1,DSG1,-32.000,18.300,South Africa,Western Cape,W,Fynbos Biome,4 DPSSWS6/7,conventional 14C,marine shell,,Pta-6740,5130,50,LSA,,,shell midden,0.1,jerardino2010lsm,
Doorspring 1,DSG1,-32.000,18.300,South Africa,Western Cape,W,Fynbos Biome,3SSWS2,conventional 14C,marine shell,,Pta-6742,4090,35,LSA,,,shell midden,0.1,jerardino1996csl,
Douglas,DGS,-29.682,23.057,South Africa,Northern Cape,S,Nama-Karoo Biome,Human burial MMK 244,conventional 14C,bone,Homo sapiens,Pta-3088,410,50,,,,Human burial,,morris1992scs,
Dreyer's Pan 2004/010,DP010,-29.599,17.031,South Africa,Northern Cape,W,Succulent Karoo Biome,H16,AMS,charcoal,,OxA-24078,712,24,,,,,-25.6,orton2012han,
Dreyer's Pan 2004/014,DP014,-29.600,17.049,South Africa,Northern Cape,W,Succulent Karoo Biome,Unknown,conventional 14C,,,GX-32060,1020,60,,,,,1.6,dewar2008acd,
Dreyer's Pan 2004/014,DP014,-29.600,17.049,South Africa,Northern Cape,W,Succulent Karoo Biome,M16 top,AMS,bone,,UBA-9943,665,21,,,,,-17.4,dewar2012hmr,
Driekopseiland,DKE,-29.017,24.217,South Africa,Northern Cape,S,Savanna Biome,Human burial,conventional 14C,bone,Homo sapiens,Pta-9331,330,45,,,,Human burial,-12.0,morris2006bdn,Rib bone
Driel Shelter,DRL,-28.767,29.300,South Africa,Kwazulu-Natal,S,Grassland Biome,"Older Ash, E3",conventional 14C,charcoal,,Pta-1381,1775,40,LSA,Ceramic LSA,,rock shelter,,maggs1980dsr,
Droëgrond B,DGDB,-29.123,20.260,South Africa,Northern Cape,S,Nama-Karoo Biome,Level 3,conventional 14C,charcoal,,Pta-2396,400,120,LSA,Ceramic LSA,,,,smith1986ccc,Swartkop?
Drotsky's Cave,DYC,-20.333,21.417,Botswana,North-West District,S,Desert Biome,70 – 80 cm below datumn,conventional 14C,,,Beta-47862,12450,80,LSA,Oakhurst,,rock shelter,,robbins1996pad,
Drotsky's Cave,DYC,-20.333,21.417,Botswana,North-West District,S,Desert Biome,50 cm below datumn,conventional 14C,,,Beta-50163,11240,60,LSA,Oakhurst,,rock shelter,,robbins1996pad,
Drotsky's Cave,DYC,-20.333,21.417,Botswana,North-West District,S,Desert Biome,31 cm below datumn,conventional 14C,,,S-16591,12250,150,LSA,Oakhurst,,rock shelter,,yellen1987tpa,
Duiker Eiland,DKR,-32.733,17.917,South Africa,Western Cape,W,Fynbos Biome,,conventional 14C,charcoal,,Pta-1581,1700,50,,,,,,robertshaw1979ede,
Duncombe Farm,DUN,-17.400,30.917,Zimbabwe,Mashonaland Central,S,Savanna Biome,Unit 3,conventional 14C,,,SR-243,18970,275,LSA,ELSA,,rock shelter,,walker1984eem,"TR 803767 Sheet 17 3084 1 : 50,000"
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,,AMS,eggshell,Struthio camelus,CAMS-113296,6135,40,LSA,,,shell midden,,orton2006rhl,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,,AMS,marine shell,Donax serra,CAMS-113297,3325,35,LSA,,,shell midden,,orton2006rhl,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,KIR,conventional 14C,charcoal,,Pta-4799,710,45,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,SHA,conventional 14C,marine shell,,Pta-4801,1350,70,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,ELA,conventional 14C,charcoal,,Pta-4802,680,50,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,SHA,conventional 14C,charcoal,,Pta-4807,510,40,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,FRA,conventional 14C,marine shell,,Pta-5031,1240,40,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,FRA,conventional 14C,charcoal,,Pta-5061,580,50,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,KIR,conventional 14C,charcoal,,Pta-5062,640,40,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,FRA,conventional 14C,marine shell,,Pta-5070,1130,40,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,ELA,conventional 14C,marine shell,,Pta-5071,1140,40,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,ELA,conventional 14C,charcoal,,Pta-5276,620,50,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,KIR,conventional 14C,charcoal,,Pta-5277,600,40,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,PET,conventional 14C,charcoal,,Pta-5280,650,50,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,PET,conventional 14C,marine shell,,Pta-5405,1190,40,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,ELA,conventional 14C,marine shell,,Pta-5415,1290,40,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,ELA,conventional 14C,marine shell,,Pta-5419,35,35,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,FRA,conventional 14C,charcoal,,Pta-6337,640,20,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,BER,conventional 14C,charcoal,,Pta-6721,690,50,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,PET,conventional 14C,charcoal,,Pta-6730,570,50,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,JAC,conventional 14C,marine shell,,Pta-6732,1030,60,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,JAC,conventional 14C,marine shell,,Pta-6734,1210,50,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,NIC,conventional 14C,marine shell,,Pta-6735,1200,20,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,FRA,conventional 14C,marine shell,,Pta-6736,1180,40,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,FRA,conventional 14C,marine shell,,Pta-6737,1210,60,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,FRA,conventional 14C,marine shell,,Pta-6738,1210,40,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,JAC,conventional 14C,charcoal,,Pta-7889,590,50,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,SYL,conventional 14C,charcoal,,Pta-7894,640,40,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,JAC,conventional 14C,charcoal,,Pta-7897,630,35,LSA,,,shell midden,,parkington2009fcs,
Dune Field Midden,DFM,-32.301,18.348,South Africa,Western Cape,W,Fynbos Biome,,conventional 14C,marine shell,Donax serra,Pta-9396,2280,60,LSA,,,shell midden,,orton2006rhl,
Dunefield Midden 11,DFM11,-32.283,18.350,South Africa,Western Cape,W,Fynbos Biome,,conventional 14C,marine shell,,Pta-8912,2220,50,LSA,,,shell midden,,orton2006lsl,
Durban Bluff,DBB,-29.926,31.009,South Africa,Kwazulu-Natal,S,Indian Ocean Coastal Belt,"Skeleton, DBN 4381",conventional 14C,bone,Homo sapiens,Pta-5789,780,50,,,,Human burial,,ribot2010phe,
"Durban, King’s View",DBK,-30.051,30.887,South Africa,Kwazulu-Natal,S,Indian Ocean Coastal Belt,"Skeleton, DBN 3335",conventional 14C,bone,Homo sapiens,Pta-5798,480,50,,,,Human burial,,ribot2010phe,
Dzata,DZT,-22.867,30.150,South Africa,Limpopo,S,Savanna Biome,upper levels,conventional 14C,wood,,Pta-5969,160,20,Iron Age,Later Iron Age,hut,settlement,,vogel2000rds,Venda Period
Dzata,DZT,-22.867,30.150,South Africa,Limpopo,S,Savanna Biome,upper levels,conventional 14C,wood,,Pta-5971,200,40,Iron Age,Later Iron Age,hut,settlement,,vogel2000rds,Venda Period
Dzata,DZT,-22.867,30.150,South Africa,Limpopo,S,Savanna Biome,upper levels,conventional 14C,plant remains,cereals,Pta-5972,120,45,Iron Age,Later Iron Age,hut,settlement,,vogel2000rds,Venda Period
Dzata,DZT,-22.867,30.150,South Africa,Limpopo,S,Savanna Biome,lower levels,conventional 14C,,,Wits-1599,260,70,Iron Age,Later Iron Age,,settlement,,huffman2007h,Khami facies
Dzata,DZT,-22.867,30.150,South Africa,Limpopo,S,Savanna Biome,lower levels,conventional 14C,,,Wits-1665,290,50,Iron Age,Later Iron Age,,settlement,,huffman2007h,Khami facies
Dzata,DZT,-22.867,30.150,South Africa,Limpopo,S,Savanna Biome,lower levels,conventional 14C,,,Wits-1668,320,40,Iron Age,Later Iron Age,,settlement,,huffman2007h,Khami facies
Eagle Cave,EAC,-32.326,18.322,South Africa,Western Cape,W,Fynbos Biome,Surface,conventional 14C,charcoal,,Pta-5920,2910,60,,,,rock shelter,-21.5,jerardino1996csl,
Edgehill,EDG,-32.933,26.500,South Africa,Eastern Cape,S,Thicket Biome,,conventional 14C,charcoal,,Pta-3564,1830,60,LSA,Ceramic LSA,,rock shelter,,hall1986paf,
Edmondsburg,EDM,-22.317,29.283,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-7279,850,50,Iron Age,,,settlement,,vogel2000rds,
Edmondsburg,EDM,-22.317,29.283,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-7450,1040,40,Iron Age,,,settlement,,vogel2000rds,
Eiland,EIL,-23.767,30.633,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,,,Pta-1522,850,50,Iron Age,,,settlement,,evers1988rgs,Eiland facies
Eiland,EIL,-23.767,30.633,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-1524,1680,40,Iron Age,Early Iron Age ,,settlement,,maggs1977rrd,
Eiland,EIL,-23.767,30.633,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-1607,1560,30,Iron Age,Early Iron Age ,,settlement,,maggs1984sz,
Eiland,EIL,-23.767,30.633,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-1608,1630,30,Iron Age,Early Iron Age ,,settlement,,maggs1984sz,
Eiland,EIL,-23.767,30.633,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,,,Pta-1668,1000,55,Iron Age,,,settlement,,evers1988rgs,Eiland facies
Eiland,EIL,-23.767,30.633,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,,,Pta-1745,825,50,Iron Age,,,settlement,,evers1988rgs,Eiland facies
Eiland,EIL,-23.767,30.633,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Wits-764,1460,40,Iron Age,Early Iron Age ,,settlement,,klapwijk1996esl,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,MARO,conventional 14C,eggshell,Struthio camelus,AA-5832,8110,90,LSA,,,rock shelter,,parkington1992mss,Transitional
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,SMOK,AMS,,,AA-5833,10840,70,LSA,Oakhurst,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,SOSE,AMS,,,AA-5834,11415,80,LSA,Robberg,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,DS02,conventional 14C,,,GaK  4338,12450,280,LSA,Robberg,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,ALMJ,conventional 14C,,,GaK-4335,1120,85,LSA,Wilton,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,EDDI,conventional 14C,,,GaK-4336,20,70,,,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,RAYI,conventional 14C,,,GaK-4337,1520,80,LSA,Wilton,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,JOFR,conventional 14C,plant remains,,GaK-4339,2950,115,LSA,Wilton,,rock shelter,,parkington1992mss,Estuarine grass bedding
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,Dorothee pit,AMS,charcoal,,GifA-13001/SacA-31983,15830,60,LSA,Robberg,,rock shelter,,tribolo2016cpd,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,Dorothee,AMS,charcoal,,GifA-13002/SacA-31984,15970,60,LSA,Robberg,,rock shelter,,tribolo2016cpd,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,Fael,AMS,charcoal,,GifA-13003/SacA-31985,19120,90,LSA,ELSA,,rock shelter,,tribolo2016cpd,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,Farik,AMS,charcoal,,GifA-13004/SacA-31986,18720,90,LSA,ELSA,,rock shelter,,tribolo2016cpd,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,Frida,AMS,charcoal,,GifA-13006/SacA-31988,18780,90,LSA,ELSA,,rock shelter,,tribolo2016cpd,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,Fro,AMS,charcoal,,GifA-13007/SacA-31989,19100,90,LSA,ELSA,,rock shelter,,tribolo2016cpd,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,Fro,AMS,charcoal,,GifA-13008/SacA-31990,19960,100,LSA,ELSA,,rock shelter,,tribolo2016cpd,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,Ibis,AMS,charcoal,,GifA-13009/SacA-31991,33270,430,MSA,Final MSA,,rock shelter,,tribolo2016cpd,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,YMFD,AMS,bone,Homo sapiens,OxA-456,9800,160,LSA,,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,ALBA,AMS,bone,Homo sapiens,OxA-478,10860,180,LSA,Oakhurst,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,DS06,conventional 14C,charcoal,,Pta- 1597,20180,220,LSA,ELSA,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,MOS1,conventional 14C,,,Pta- 4321,13600,140,LSA,Robberg,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,OAKO,conventional 14C,charcoal,,Pta- 5304,20500,240,LSA,ELSA,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,SPIN,conventional 14C,charcoal,,Pta- 5308,17800,180,LSA,Robberg,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,GBS1,conventional 14C,,,Pta- 6756,11370,110,LSA,Robberg,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,GBS2,conventional 14C,,,Pta- 6757,13020,130,LSA,Robberg,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,SOSE,conventional 14C,,,Pta- 6761,13260,120,LSA,Robberg,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,PBGB,conventional 14C,,,Pta-0732,10640,110,LSA,Oakhurst,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,GBAN,conventional 14C,,,Pta-0737,10700,100,LSA,Oakhurst,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,DS11,conventional 14C,charcoal,,Pta-1596,42800,1900,MSA,,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,MAUR,conventional 14C,bone,Homo sapiens,Pta-1754,3835,50,LSA,,,rock shelter,,parkington1992mss,Talus - human burial UCT 373
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,NKOM,conventional 14C,,,Pta-1815,320,70,LSA,Final LSA,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,SOYI,conventional 14C,plant remains,,Pta-1816,3780,85,LSA,Wilton,,rock shelter,,parkington1992mss,Estuarine grass bedding
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,BJFR (UCT 375),conventional 14C,bone,Homo sapiens,Pta-1829,8000,95,LSA,,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,MARO,conventional 14C,,,Pta-1871,8340,80,LSA,,,rock shelter,,parkington1992mss,Transitional
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,,conventional 14C,,,Pta-1872,7910,80,LSA,,,rock shelter,,orton2006lsl,Transitional
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,CRAY,conventional 14C,,,Pta-2481,10000,90,LSA,Oakhurst,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,CRAY,conventional 14C,marine other,Jasus lalandii,Pta-2592,9950,270,LSA,Oakhurst,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,URSU,conventional 14C,bone,Homo sapiens,Pta-3086,9750,100,LSA,,,rock shelter,,parkington1992mss,Talus - human burial UCT 374
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,BURO,conventional 14C,,,Pta-5305,8860,90,LSA,Oakhurst,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,NEPT,conventional 14C,,,Pta-5306,9640,90,LSA,Oakhurst,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,NORT,conventional 14C,charcoal,,Pta-5311,41700,1700,MSA,,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,,conventional 14C,,,Pta-5313,4370,60,LSA,Wilton,,rock shelter,,orton2006lsl,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,BARH,conventional 14C,,,Pta-5317,3940,60,LSA,Wilton,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,PATT,conventional 14C,charcoal,,Pta-5328,>40300,,MSA,,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,TAPT,conventional 14C,charcoal,,Pta-5334,>44600,,MSA,,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,FOAM,conventional 14C,,,Pta-5336,10460,80,LSA,Oakhurst,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,ASHE,conventional 14C,,,Pta-5361,10560,100,LSA,Oakhurst,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,SMOK,conventional 14C,,,Pta-5369,10660,100,LSA,Oakhurst,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,GSFB,conventional 14C,charcoal,,Pta-5594,3590,60,LSA,Wilton,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,JECH,conventional 14C,,,Pta-5595,1310,40,LSA,Wilton,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,KEPL,conventional 14C,,,Pta-5611,2100,20,LSA,Wilton,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,,conventional 14C,,,Pta-5805,4160,60,LSA,Wilton,,rock shelter,,orton2006lsl,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,DUST,conventional 14C,,,Pta-6758,10620,100,LSA,Oakhurst,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,BSP2,conventional 14C,,,Pta-686,9600,90,LSA,Oakhurst,,rock shelter,,parkington1992mss,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,LEED,conventional 14C,plant remains,,Pta-687,3510,45,LSA,Wilton,,rock shelter,,parkington1992mss,"Charcoal, bedding grass"
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,LBED,conventional 14C,plant remains,,Pta-841,3450,50,LSA,Wilton,,rock shelter,,parkington1992mss,"Charcoal, bedding grass"
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,"KAMA, Level 6 (bottom)",conventional 14C,charcoal,,UW-0192,11070,140,LSA,Oakhurst,,rock shelter,,fairhall1976uwd,
Elands Bay Cave,EBC,-32.317,18.318,South Africa,Western Cape,W,Fynbos Biome,"PLGB, Level 6 (top)",conventional 14C,charcoal,,UW-0193,10090,65,LSA,Oakhurst,,rock shelter,,fairhall1976uwd,
Elands Bay Open,EBO,-32.317,18.316,South Africa,Western Cape,W,Fynbos Biome,Spit 1,conventional 14C,,,Pta-2460,590,50,LSA,,,shell midden,-23.8,jerardino1996csl,
Elands Bay Open,EBO,-32.317,18.316,South Africa,Western Cape,W,Fynbos Biome,BM,conventional 14C,,,Pta-2465,705,45,LSA,,,shell midden,-21.1,jerardino1996csl,
Elands Bay Open,EBO,-32.317,18.316,South Africa,Western Cape,W,Fynbos Biome,EVEN,conventional 14C,,,Pta-2469,1470,50,LSA,,,shell midden,-22.3,jerardino1996csl,
Elands Bay Open,EBO,-32.317,18.316,South Africa,Western Cape,W,Fynbos Biome,,conventional 14C,,,Pta-2569,1470,50,LSA,,,shell midden,,klein1986psh,
Elands Bay Open,EBO,-32.317,18.316,South Africa,Western Cape,W,Fynbos Biome,SPECKLE,conventional 14C,,,Pta-6265,2920,60,LSA,,,shell midden,-22.7,jerardino1996csl,
